sample	filename	condition
col_0_1	SRR1984527_pass.fastq.gz.count	col_0
col_0_2	SRR1984528_pass.fastq.gz.count	col_0
col_0_3	SRR1984530_pass.fastq.gz.count	col_0
met1_1	SRR1984531_pass.fastq.gz.count	met1
met1_2	SRR1984532_pass.fastq.gz.count	met1
met1_3	SRR1984535_pass.fastq.gz.count	met1
vim1_1	SRR1984536_pass.fastq.gz.count	vim1
vim1_2	SRR1984538_pass.fastq.gz.count	vim1
vim1_3	SRR1984540_pass.fastq.gz.count	vim1
vim123_1	SRR1984541_pass.fastq.gz.count	vim123
vim123_2	SRR1984543_pass.fastq.gz.count	vim123
vim123_3	SRR1984544_pass.fastq.gz.count	vim123
